
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_NDWI
Brazil,Amazonas,Stable_Forest,-56.14394168947859,-7.867939331725035,2019,105.72993469238281,196.0,207.0,365.0,198.0,680.0,1951.0,2406.0,2566.0,2687.0,3049.0,1354.0,567.0,63.0,2982.0,4.0,21.0,38.0,22.0,0.8567293882369995,2.687854710556186,-0.7509382367134094
Brazil,Amazonas,Stable_Forest,-60.8482391693557,-8.203010932701616,2019,209.218704,208.0,256.0,439.0,230.0,789.0,2384.0,2894.0,2878.0,3208.0,3095.0,1312.0,514.0,65.0,3283.0,4.0,24.0,45.0,26.0,0.8519948720932007,2.830269345874305,-0.7353029847145081
Brazil,Amazonas,Stable_Forest,-57.829540488600465,-10.854118999195148,2019,195.773544,168.0,204.0,385.0,187.0,645.0,2203.0,2902.0,3089.0,3140.0,3073.0,1248.0,484.0,64.0,2758.0,4.0,19.0,39.0,21.0,0.8858363628387451,2.7050708426547354,-0.7783535122871399
Brazil,Amazonas,Stable_Forest,-58.62814277618271,-8.954541499396008,2019,92.528236,290.5,264.0,398.5,238.5,737.0,2275.0,3051.0,2768.5,3455.5,3593.0,1552.5,684.5,107.0,2968.0,4.0,25.5,41.0,27.5,0.841370165348053,2.8484575546048188,-0.7483422756195068
Brazil,Amazonas,Stable_Forest,-57.0023717749832,-7.590270077403691,2019,241.117111,217.0,181.0,332.0,182.0,598.0,2072.0,2612.0,2534.0,3015.0,2976.0,1320.0,523.0,74.0,2587.0,4.0,19.0,34.0,19.0,0.8659793734550476,2.590879048248513,-0.768318235874176
Brazil,Amazonas,Stable_Forest,-59.0692155806854,-4.532135355675604,2019,332.643951,205.0,234.0,448.0,241.0,690.0,2121.0,2692.0,2797.0,2854.0,2965.0,1327.0,514.0,156.0,4033.0,4.0,25.0,47.0,26.0,0.8413429856300354,2.5672961028525516,-0.7238829135894775
Brazil,Amazonas,Stable_Forest,-58.33511233050293,-5.7766613502947886,2019,209.863998,167.5,231.0,416.5,229.0,660.0,1968.0,2513.5,2950.0,2739.5,2755.5,1390.0,565.0,67.0,3533.5,4.0,23.5,42.5,24.0,0.8559295535087585,2.623915139826422,-0.7525619864463806
Brazil,Amazonas,Stable_Forest,-64.47824140095427,-3.7909354147485868,2019,106.322983,395.5,370.5,549.0,347.0,938.0,2598.5,3169.0,3097.5,3477.0,3463.0,1815.0,750.5,135.0,3982.0,4.0,36.0,56.5,38.5,0.7985193729400635,2.8630165504319764,-0.6988893747329712
Brazil,Amazonas,Stable_Forest,-60.54739338070407,-5.989741735687939,2019,450.853882,244.0,240.0,393.0,233.5,725.0,2162.5,2808.0,2705.0,3142.0,3148.0,1594.5,669.5,71.0,4023.5,4.0,24.0,40.0,25.0,0.8410753607749939,2.6782618118768964,-0.7462879419326782
Brazil,Amazonas,Stable_Forest,-56.41406509541333,-11.869125438721795,2019,0.005485000088810921,222.0,264.0,436.0,280.0,760.0,2132.0,2707.0,2701.0,2962.0,3169.0,1587.0,661.0,63.0,2064.0,4.0,28.0,44.0,27.0,0.8121435642242432,2.51977518734388,-0.7220274209976196
